Published_date,Open,High,Low,Close,Per_change,Traded_quantity,Traded_amount,Status,Date,ema_short,ema_long,ema_diff,ema_cross
2023-12-06,497.0,500.0,495.0,495.6,-0.66,12300.0,6101174.9,-1,2023-12-06,500.5571652425971,509.3945140944433,-8.83734885184623,0
2023-12-07,505.0,505.0,491.0,497.5,0.38,22557.0,11192020.7,-1,2023-12-07,499.8777951886866,508.1424599792387,-8.264664790552104,0
2023-12-10,505.0,530.0,505.0,524.0,5.33,6616.0,3473867.0,1,2023-12-10,505.23828514675625,509.8116747182662,-4.573389571509949,0
2023-12-11,525.0,529.9,505.0,509.9,-2.69,93195.0,47730487.2,-1,2023-12-11,506.2742217808104,509.8209721163434,-3.546750335532977,0
2023-12-12,509.0,517.8,504.0,510.0,0.02,62527.0,31934610.9,1,2023-12-12,507.10217249618586,509.8398171567283,-2.7376446605424576,0
2023-12-13,514.0,520.0,505.1,510.0,0.0,57588.0,29458286.65,-1,2023-12-13,507.7461341637001,509.85667850865167,-2.1105443449515633,0
2023-12-14,508.0,511.8,501.6,506.9,-0.61,40832.0,20698886.8,-1,2023-12-14,507.5581043495445,509.54544919195143,-1.9873448424069124,0
2023-12-17,500.0,507.0,497.0,501.0,-1.16,76166.0,38290459.2,1,2023-12-17,506.1007478274235,508.6459282243776,-2.5451803969540947,0
2023-12-18,504.5,519.0,501.0,515.0,2.79,139478.0,71178255.1,1,2023-12-18,508.0783594213294,509.31477788496943,-1.2364184636400068,0
2023-12-19,524.0,532.0,518.0,530.0,2.91,107626.0,56310040.0,1,2023-12-19,512.9498351054784,511.4921696865516,1.4576654189268083,1
2023-12-20,532.0,549.8,532.0,545.0,2.83,99290.0,54004935.1,1,2023-12-20,520.0720939709277,515.0193097195462,5.052784251381468,0
2023-12-21,545.0,555.0,530.0,532.0,-2.39,96029.0,51611930.1,-1,2023-12-21,522.7227397551659,516.8067508016992,5.9159889534666945,0
2023-12-24,530.0,540.0,521.5,528.0,-0.75,75142.0,39931658.0,-1,2023-12-24,523.895464254018,517.9849875594151,5.910476694602835,0
2023-12-27,523.0,530.0,519.0,520.0,-1.52,90557.0,47371343.7,-1,2023-12-27,523.0298055309029,518.1970941321083,4.832711398794572,0
2023-12-28,520.0,525.0,511.0,512.0,-1.54,66034.0,34134473.0,-1,2023-12-28,520.5787376351467,517.5447684339916,3.0339692011550596,0
2024-01-01,515.0,524.9,512.0,513.9,0.37,32342.0,16709614.5,-1,2024-01-01,519.0945737162252,517.1611085988346,1.9334651173905968,0
2024-01-02,520.0,520.0,509.0,509.9,-0.78,42542.0,21750362.8,-1,2024-01-02,517.0513351126197,516.3967813779046,0.654553734715023,0
2024-01-03,511.0,515.0,509.0,514.1,0.82,30658.0,15717610.5,1,2024-01-03,516.3954828653708,516.1550149170725,0.24046794829826013,0
2024-01-04,512.3,517.0,509.0,510.9,-0.62,51626.0,26478137.7,-1,2024-01-04,515.174264450844,515.6018554521175,-0.42759100127352667,-1
